date,title,body,video_id,video_url,playlist,minutes_match
2019-08-06,Salt Lake City Council Work Session Only - 8/6/2019,Council,DWMxGRkxCSU,https://www.youtube.com/watch?v=DWMxGRkxCSU,streams,false
2019-08-01,"Historic Landmarks Commission Meeting - August 1, 2019",Other,5hy3_t9q7nE,https://www.youtube.com/watch?v=5hy3_t9q7nE,streams,false
2019-07-31,"Planning Commission Meeting - July 31, 2019",PlanningCommission,ka5HhibhX4w,https://www.youtube.com/watch?v=ka5HhibhX4w,streams,false
2019-07-16,Salt Lake City Council Formal Meeting - 7/16/2019,Council,Hx7HugT0aEY,https://www.youtube.com/watch?v=Hx7HugT0aEY,streams,false
2019-07-16,Salt Lake City Council Work Session - 7/16/2019,Council,LBdo1bq_DLU,https://www.youtube.com/watch?v=LBdo1bq_DLU,streams,false
2019-07-10,"Planning Commission Meeting - July 10, 2019",PlanningCommission,FIia-Ml_JO4,https://www.youtube.com/watch?v=FIia-Ml_JO4,streams,false
2019-07-09,Salt Lake City Council Formal Meeting - 7/9/2019,Council,oRWmBaAVFBY,https://www.youtube.com/watch?v=oRWmBaAVFBY,streams,false
2019-07-09,Salt Lake City Council Work Session - 7/09/2019,Council,lBksKGVd5eU,https://www.youtube.com/watch?v=lBksKGVd5eU,streams,false
2019-07-09,Salt Lake City Redevelopment Agency (RDA) Meeting- 7/9/2019,Council,dHcI-sDwiFA,https://www.youtube.com/watch?v=dHcI-sDwiFA,streams,false
2019-06-28,Salt Lake City Council Special Limited Formal Meeting - 6/28/2019,Council,RJpNNXJvm8I,https://www.youtube.com/watch?v=RJpNNXJvm8I,videos,false
2019-06-28,Salt Lake City Special Limited Redevelopment Agency RDA Meeting - 6/28/2019,Council,2mOUxorGM5c,https://www.youtube.com/watch?v=2mOUxorGM5c,videos,false
2019-06-26,"Planning Commission Meeting - June 26, 2019",PlanningCommission,WOF84zTMIeA,https://www.youtube.com/watch?v=WOF84zTMIeA,streams,false
2019-06-12,"Planning Commission Meeting - June 12, 2019",PlanningCommission,hVo-DtV8vik,https://www.youtube.com/watch?v=hVo-DtV8vik,streams,false
2019-06-12,Planning Commission - 06/12/2019,PlanningCommission,9GIr6YnXk_w,https://www.youtube.com/watch?v=9GIr6YnXk_w,videos,false
2019-06-11,Salt Lake City Redevelopment Agency (RDA) Meeting - 6/11/2019,Council,yTLVYfIAvTY,https://www.youtube.com/watch?v=yTLVYfIAvTY,streams,false
2019-06-11,Salt Lake City Council Formal Meeting - 6/11/2019,Council,OkWyMt-esUo,https://www.youtube.com/watch?v=OkWyMt-esUo,videos,false
2019-06-11,Salt Lake City Council Work Session - 6/11/2019,Council,5k-130cZE8w,https://www.youtube.com/watch?v=5k-130cZE8w,videos,false
2019-06-06,"Historic Landmarks Commission Meeting - June 06, 2019",Other,twccsthy9dg,https://www.youtube.com/watch?v=twccsthy9dg,streams,false
2019-06-06,Salt Lake City Council Work Session - 6/6/2019,Council,HyH_YJ8XALw,https://www.youtube.com/watch?v=HyH_YJ8XALw,streams,false
2019-06-04,Salt Lake City Council Formal Meeting - 6/4/19,Council,L0zePofm6qU,https://www.youtube.com/watch?v=L0zePofm6qU,streams,false
2019-06-04,Salt Lake City Council Work Session - 6/4/2019,Council,ii_KxoPT47E,https://www.youtube.com/watch?v=ii_KxoPT47E,streams,false
2019-06-04,Salt Lake City Redevelopment Agency (RDA) Meeting - 6/4/2019,Council,3kIwVq0Xc-A,https://www.youtube.com/watch?v=3kIwVq0Xc-A,streams,false
2019-05-28,Salt Lake City Council Special Limited Formal Meeting - 5/28/2019,Council,eEXvaZ__2dE,https://www.youtube.com/watch?v=eEXvaZ__2dE,streams,false
2019-05-28,Salt Lake City Council Work Session - 5/28/2019,Council,BQwHn3EMfUg,https://www.youtube.com/watch?v=BQwHn3EMfUg,streams,false
2019-05-22,Planning Commission Meeting - 05/22/2019,PlanningCommission,70QchtgJbuA,https://www.youtube.com/watch?v=70QchtgJbuA,videos,false
2019-05-21,Salt Lake City Council Formal Meeting - 5/21/2019,Council,JIZ9-3Ckegc,https://www.youtube.com/watch?v=JIZ9-3Ckegc,streams,false
2019-05-21,Salt Lake City Council Work Session - 5/21/2019,Council,awRy8E063Lw,https://www.youtube.com/watch?v=awRy8E063Lw,streams,false
2019-05-21,Salt Lake City Redevelopment Agency (RDA) Meeting - 5/21/2019,Council,tB6ZOWjNPno,https://www.youtube.com/watch?v=tB6ZOWjNPno,streams,false
2019-05-14,Salt Lake City Council Work Session Only - 5/14/2019,Council,y1iEpWh3mW0,https://www.youtube.com/watch?v=y1iEpWh3mW0,streams,false
2019-05-14,Salt Lake City Redevelopment Agency (RDA) Meeting - 5/14/2019,Council,GkPUFSJW2cE,https://www.youtube.com/watch?v=GkPUFSJW2cE,streams,false
2019-05-08,"Planning Commission Meeting - May 8, 2019",PlanningCommission,-XdsaQ9Wzhc,https://www.youtube.com/watch?v=-XdsaQ9Wzhc,streams,false
2019-05-07,Salt Lake City Council Formal Meeting - 5/7/2019,Council,O4-PgIOUkIs,https://www.youtube.com/watch?v=O4-PgIOUkIs,streams,false
2019-05-07,Salt Lake City Council Work Session - 5/7/2019,Council,LsPF4Gi8OE8,https://www.youtube.com/watch?v=LsPF4Gi8OE8,streams,false
2019-05-02,"Historic Landmarks Commission Meeting - May 2, 2019",Other,W_bfbTnd_74,https://www.youtube.com/watch?v=W_bfbTnd_74,streams,false
2019-04-24,"Planning Commission Meeting - April 24, 2019",PlanningCommission,SVTFPkgVSW0,https://www.youtube.com/watch?v=SVTFPkgVSW0,streams,false
2019-04-23,Salt Lake City Council Formal Meeting - 4/23/2019,Council,dkSC0EZvYn0,https://www.youtube.com/watch?v=dkSC0EZvYn0,streams,false
2019-04-23,Salt Lake City Council Work Session - 4/23/2019,Council,tK9N3EoBNag,https://www.youtube.com/watch?v=tK9N3EoBNag,streams,false
2019-04-23,Salt Lake City Redevelopment Agency (RDA) Meeting - 4/23/2019,Council,OGu90podhkk,https://www.youtube.com/watch?v=OGu90podhkk,streams,false
2019-04-10,Planning Commission - 04/10/2019,PlanningCommission,uzLVU2terX0,https://www.youtube.com/watch?v=uzLVU2terX0,streams,false
2019-04-09,Salt Lake City Council Work Session Only - 4/9/2019,Council,MJQwnV5iIbM,https://www.youtube.com/watch?v=MJQwnV5iIbM,streams,false
2019-04-04,Historic Landmarks Commission - 04/04/2019,Other,_e7HQeCumVo,https://www.youtube.com/watch?v=_e7HQeCumVo,streams,false
2019-04-02,Salt Lake City Council Formal Meeting - 4/2/2019,Council,qHTdQD6xUak,https://www.youtube.com/watch?v=qHTdQD6xUak,streams,false
2019-04-02,Salt Lake City Council Work Session - 4/2/2019,Council,aCcWfp4Bhek,https://www.youtube.com/watch?v=aCcWfp4Bhek,streams,false
2019-03-29,Salt Lake City Council Special Meeting - 3/29/2019,Council,I004pbkER-4,https://www.youtube.com/watch?v=I004pbkER-4,streams,false
2019-03-27,"Planning Commission Meeting - March 27, 2019",PlanningCommission,ow9G3w2BVFI,https://www.youtube.com/watch?v=ow9G3w2BVFI,streams,false
2019-03-26,Salt Lake City Council Work Session - 3/26/2019,Council,shJSRKPC8F8,https://www.youtube.com/watch?v=shJSRKPC8F8,streams,false
2019-03-26,Salt Lake City Redevelopment Agency (RDA) Meeting - 3/26/2019,Council,3SXTop9YIHE,https://www.youtube.com/watch?v=3SXTop9YIHE,streams,false
2019-03-26,Salt Lake City Council Formal Meeting - 3/26/2019,Council,R3mTrDA9PGs,https://www.youtube.com/watch?v=R3mTrDA9PGs,videos,false
2019-03-19,Council Work Session 3/19/19,Council,awgzP1qRGrU,https://www.youtube.com/watch?v=awgzP1qRGrU,streams,false
2019-03-13,"Planning Commission Meeting - March 13, 2019",PlanningCommission,LoCduEOqKT4,https://www.youtube.com/watch?v=LoCduEOqKT4,streams,false
2019-03-07,"Historic Landmarks Commission Meeting - March 7, 2019",Other,gKxEczSqYXs,https://www.youtube.com/watch?v=gKxEczSqYXs,streams,false
2019-03-07,"Historic Landmarks Commission Meeting - March 7, 2019",Other,4CUG6c7NPaQ,https://www.youtube.com/watch?v=4CUG6c7NPaQ,streams,false
2019-03-05,Salt Lake City Council Work Session - 3/5/2019,Council,4ubu23rIk2E,https://www.youtube.com/watch?v=4ubu23rIk2E,streams,false
2019-03-05,Salt Lake City Council Formal Meeting - 3/5/2019,Council,ITuSxF8gK5w,https://www.youtube.com/watch?v=ITuSxF8gK5w,videos,false
2019-03-05,Salt Lake City Council Work Session - Car-sharing Discussion 3/5/2019,Council,KIRU4wOVXuA,https://www.youtube.com/watch?v=KIRU4wOVXuA,videos,false
2019-02-27,Planning Commission Meeting - 02/27/2019,PlanningCommission,bjlpTexdPx4,https://www.youtube.com/watch?v=bjlpTexdPx4,streams,false
2019-02-19,Salt Lake City Council Formal Meeting - 2/19/2019,Council,5XDlFijLGis,https://www.youtube.com/watch?v=5XDlFijLGis,streams,false
2019-02-19,Salt Lake City Council Work Session - 2/19/2019,Council,xC1A58cHXmQ,https://www.youtube.com/watch?v=xC1A58cHXmQ,streams,false
2019-02-13,"Planning Commission Meeting - February 13, 2019",PlanningCommission,5Cdm7G8FeBI,https://www.youtube.com/watch?v=5Cdm7G8FeBI,streams,false
2019-02-12,Salt Lake City Council Work Session - 2/12/2019,Council,uXg1W-oSuHw,https://www.youtube.com/watch?v=uXg1W-oSuHw,streams,false
2019-02-12,Redevelopment Agency (RDA) Meeting - 2/12/2019,Council,VPjFm2ZLU_4,https://www.youtube.com/watch?v=VPjFm2ZLU_4,streams,false
2019-02-12,Limited Formal Meeting 02/12/2019,Council,zsI3rXar97U,https://www.youtube.com/watch?v=zsI3rXar97U,videos,false
2019-02-07,Historic Landmarks Commission 02/07/2019,Other,_f8i22BHNAk,https://www.youtube.com/watch?v=_f8i22BHNAk,streams,false
