motion_id,meeting_id,body_id,motion_no,motion_text,motion_type,result_raw,outcome,stage,recommendation,disposition,disposition_method,disposition_confidence,application_id,app_match_method,app_confidence,mover_person_id,seconder_person_id,names_recorded,source_file
608,144,1,4,"moved approve Resolution No. 26-13, a Resolution of the City of Taylorsville Authorizing the Execution and Delivery of One or More Lease Purchase Agreements, Declaring Official Intent to Reimburse Certain Capital Expenditures, and Related Matters",Contract/Purchase,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,18,13,1,minutes/2026/2026-05-18/2026-05-20_city-council.md
609,144,1,5,"moved recess the city council meeting and convene a closed session pursuant to Utah Code Section 52-4-205 for the following purposes: to discuss the character, professional competence, or physical or mental health of an individual; to discuss investigative proceedings regarding allegations of criminal misconduct; and to discuss strategy concerning pending litigation. The meeting would adjourn from there",Procedural/Administrative,5-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,7,,1,minutes/2026/2026-05-18/2026-05-20_city-council.md
610,145,1,1,"moved approve the May 20, 2026 meeting minutes as presented",Procedural/Administrative,5-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,1,18,1,minutes/2026/2026-06-01/2026-06-03_city-council.md
611,145,1,2,"moved approve Resolution No. 26-15, a Resolution of the City of Taylorsville Approving Year-End Amendments to the FY2025-2026 budget",Resolution,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,18,13,1,minutes/2026/2026-06-01/2026-06-03_city-council.md
612,145,1,3,"moved approve Resolution No. 26-16, a Resolution of the City of Taylorsville Adopting a Final Budget for the Fiscal Year Beginning July 1, 2026 and Ending June 30, 2026 w/ the following amendment: the portion dedicated to a wall project be removed",Budget Amendment,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,18,13,1,minutes/2026/2026-06-01/2026-06-03_city-council.md
613,145,1,4,moved adjourn,Procedural/Administrative,,Pass,council_vote,,procedural,keyword,high,,,,13,18,0,minutes/2026/2026-06-01/2026-06-03_city-council.md
614,146,2,1,"Commissioner Wendel – I will make a motion to approve the Minutes for October 8, October 22, and December 10, 2019 as presented",Procedural/Administrative,Pass (unanimous),Pass,pc_final_action,,procedural,keyword,high,,,,16,9,0,minutes/2020/2020-01-13/2020-01-14_planning-commission.md
615,146,2,2,"Commissioner Burggraaf I will move that we send a positive recommendation to the City Council for a zoning text amendment to the Taylorsville Municipal Code, Section 13.08.020 (E ) Permitted Lane Use Matrix by the Commercial, Office, Industrial, Mixed Use, Transit Corridor, and Research and Development Districts, and Chapter 13.36 Definitions, File #15Z19, in accordance with the Staff Report and the exhibits attached with the exclusion of the recommended changes related to Auto, Truck, RV, Indoor and Outdoor Storage. Ms. Price – Plus the definitions. Commissioner Burggraaf – I think I mentione",Land-Use/Zoning,Positive recommendation (unanimous),Pass,pc_recommendation,Positive,approve,keyword,high,58,case_no,high,15,11,0,minutes/2020/2020-01-13/2020-01-14_planning-commission.md
616,146,2,3,"Commissioner McElreath - I move for approval of File #12S19 – Consideration of a Preliminary Plat for an Eight-Lot Subdivision at 6573 South 3200 West, based on findings and requirements contained in the Staff Report",Land-Use/Zoning,"Approved (Final Action, unanimous)",Pass,pc_final_action,,approve,keyword,high,59,case_no,high,17,11,0,minutes/2020/2020-01-13/2020-01-14_planning-commission.md
617,146,2,4,By motion the meeting was adjourned.,Procedural/Administrative,Pass (unanimous),Pass,pc_final_action,,procedural,keyword,high,,,,11,,0,minutes/2020/2020-01-13/2020-01-14_planning-commission.md
618,147,2,1,Commissioner Burggraaf – I will make a motion that we move to a closed session for the purpose described in Utah Code 52-4-205 specifically to discuss a pending or reasonably imminent litigation,Procedural/Administrative,"Approved (Final Action, unanimous)",Pass,pc_final_action,,procedural,keyword,high,,,,15,11,0,minutes/2020/2020-01-27/2020-01-28_planning-commission.md
619,147,2,2,By motion the meeting was adjourned.,Procedural/Administrative,Pass (unanimous),Pass,pc_final_action,,procedural,keyword,high,,,,16,,0,minutes/2020/2020-01-27/2020-01-28_planning-commission.md
620,148,2,1,"Commissioner Wendel - I will move to approve the Minutes for January 14 and 28, 2020",Procedural/Administrative,7-0 Pass,Pass,pc_final_action,,procedural,keyword,high,,,,16,14,1,minutes/2020/2020-03-09/2020-03-10_planning-commission.md
621,148,2,2,"Commissioner Barbieri - I will make a motion to approve consideration of a conditional use permit for hours of operation for EOS Fitness, 24 hours, File #5C20 at 5564 South Redwood Road",Land-Use/Zoning,7-0 Approved (Final Action),Pass,pc_final_action,,approve,keyword,high,60,case_no,high,1,16,1,minutes/2020/2020-03-09/2020-03-10_planning-commission.md
