date,year,title,body,slug,path,source,source_url,format
2024-07-09,2024,City Council Regular Meeting,Council,council-regular,minutes/2024/2024-07-09_council_35.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_07092024-35,pdf-ocr
2024-07-23,2024,City Council Regular Meeting,Council,council-regular,minutes/2024/2024-07-23_council_117.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_07232024-117,pdf-ocr
2024-08-13,2024,City Council Regular Meeting,Council,council-regular,minutes/2024/2024-08-13_council_118.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_08132024-118,pdf-text
2024-08-27,2024,City Council Regular Meeting,Council,council-regular,minutes/2024/2024-08-27_council_119.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_08272024-119,pdf-text
2024-09-10,2024,City Council Regular Meeting,Council,council-regular,minutes/2024/2024-09-10_council_120.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_09102024-120,pdf-ocr
2024-10-08,2024,Magna Council Meeting,Council,council-regular,minutes/2024/2024-10-08_council_1251515.md,pmn,https://www.utah.gov/pmn/files/1251515.pdf,pdf-ocr
2024-10-22,2024,City Council Regular Meeting,Council,council-regular,minutes/2024/2024-10-22_council_123.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_10222024-123,pdf-ocr
2024-10-22,2024,City Council Community Reinvestment Agency Meeting,CRA,cra-regular,minutes/2024/2024-10-22_cra_124.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_10222024-124,pdf-ocr
2024-12-10,2024,City Council Regular Meeting,Council,council-regular,minutes/2024/2024-12-10_council_128.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_12102024-128,pdf-ocr
2025-01-14,2025,Magna Council Meeting,Council,council-regular,minutes/2025/2025-01-14_council_1225667.md,pmn,https://www.utah.gov/pmn/files/1225667.pdf,pdf-ocr
2025-01-28,2025,City Council Regular Meeting,Council,council-regular,minutes/2025/2025-01-28_council_130.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_01282025-130,pdf-ocr
2025-02-11,2025,Magna Council Meeting,Council,council-regular,minutes/2025/2025-02-11_council_1239927.md,pmn,https://www.utah.gov/pmn/files/1239927.pdf,pdf-ocr
2025-02-15,2025,City Council Retreat,Council,council-retreat,minutes/2025/2025-02-15_council_135.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_02152025-135,pdf-ocr
2025-02-25,2025,Magna Council Meeting,Council,council-regular,minutes/2025/2025-02-25_council_1244205.md,pmn,https://www.utah.gov/pmn/files/1244205.pdf,pdf-ocr
2025-03-11,2025,Magna Council Meeting,Council,council-regular,minutes/2025/2025-03-11_council_1249491.md,pmn,https://www.utah.gov/pmn/files/1249491.pdf,pdf-text
2025-03-25,2025,Magna Council Meeting,Council,council-regular,minutes/2025/2025-03-25_council_1261641.md,pmn,https://www.utah.gov/pmn/files/1261641.pdf,pdf-ocr
