date,year,title,slug,path,source,source_url,format
2022-06-22,2022,"2022, City Council, LBA & RDA Combined Meeting Agenda PDF",council_2022-06-22_1079,minutes/2022/2022-06-20/council_2022-06-22_1079.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_06222022-1079,text
2022-07-27,2022,"2022, AMENDED City Council & RDA Combined Meeting Agenda PDF",council_2022-07-27_1093,minutes/2022/2022-07-25/council_2022-07-27_1093.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_07272022-1093,text
2022-08-24,2022,"2022, City Council Regular Meeting Agenda PDF",council_2022-08-24_1104,minutes/2022/2022-08-22/council_2022-08-24_1104.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_08242022-1104,text
2022-09-14,2022,"2022, City Council Regular Meeting Agenda PDF",council_2022-09-14_1113,minutes/2022/2022-09-12/council_2022-09-14_1113.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_09142022-1113,text
2022-09-28,2022,"2022, City Council and RDA Combined Meeting Agenda PDF",council_2022-09-28_1121,minutes/2022/2022-09-26/council_2022-09-28_1121.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_09282022-1121,text
2022-10-12,2022,"2022, City Council and Planning Commission Special Joint Meeting Agenda (PDF)",council_2022-10-12_1125,minutes/2022/2022-10-10/council_2022-10-12_1125.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_10122022-1125,text
2022-10-12,2022,"2022, City Council Regular Meeting Agenda PDF",council_2022-10-12_1126,minutes/2022/2022-10-10/council_2022-10-12_1126.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_10122022-1126,text
2022-11-09,2022,"2022, City Council and RDA Combined Meeting Agenda PDF",council_2022-11-09_1135,minutes/2022/2022-11-07/council_2022-11-09_1135.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_11092022-1135,text
2022-11-22,2022,"2022, City Council Board of Canvassers Meeting Agenda",council_2022-11-22_1137,minutes/2022/2022-11-21/council_2022-11-22_1137.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_11222022-1137,text
2022-12-14,2022,"2022, Bluffdale City Council, PC, LBA & RDA Combined Meeting Agenda PDF",council_2022-12-14_1148,minutes/2022/2022-12-12/council_2022-12-14_1148.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_12142022-1148,text
2023-01-11,2023,"2023, Bluffdale City Council, PC & RDA Combined Meeting Agenda PDF",council_2023-01-11_1157,minutes/2023/2023-01-09/council_2023-01-11_1157.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_01112023-1157,text
2023-01-25,2023,"2023, Bluffdale City Council, PC, LBA & RDA Combined Meeting Agenda PDF",council_2023-01-25_1168,minutes/2023/2023-01-23/council_2023-01-25_1168.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_01252023-1168,text
2023-02-08,2023,"2023, City Council Regular Meeting Agenda PDF",council_2023-02-08_1171,minutes/2023/2023-02-06/council_2023-02-08_1171.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_02082023-1171,text
2023-03-08,2023,"2023, City Council and RDA Combined Meeting Agenda PDF",council_2023-03-08_1184,minutes/2023/2023-03-06/council_2023-03-08_1184.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_03082023-1184,text
2023-04-12,2023,"2023, Bluffdale City Council, PC, LBA, RDA Combined Meeting Agenda PDF",council_2023-04-12_1193,minutes/2023/2023-04-10/council_2023-04-12_1193.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_04122023-1193,text
2023-04-26,2023,"2023, BLUFFDALE CITY
CITY COUNCIL,
LOCAL BUILDING AUTHORITY AND
REDEVELOPMENT AGENCY BOARD
COMBINED MEETING AGENDA
City Council Chambers
Wednesday, April 26, 2023, at 7:00 p.m.",council_2023-04-26_1197,minutes/2023/2023-04-24/council_2023-04-26_1197.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_04262023-1197,text
2023-05-10,2023,"2023, BLUFFDALE CITY COUNCIL AND LOCAL BUILDING AUTHORITY COMBINED MEETING AGENDA 05-10-2023",council_2023-05-10_1201,minutes/2023/2023-05-08/council_2023-05-10_1201.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_05102023-1201,text
2023-05-24,2023,"2023, BLUFFDALE CITY COUNCIL MEETING AGENDA 05-24-2023",council_2023-05-24_1205,minutes/2023/2023-05-22/council_2023-05-24_1205.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_05242023-1205,ocr
2023-06-14,2023,"2023, BLUFFDALE CITY COUNCIL, LOCAL BUILDING AUTHORITY AND REDEVELOPMENT AGENCY COMBINED MEETING Agenda 06-14-2023",council_2023-06-14_1214,minutes/2023/2023-06-12/council_2023-06-14_1214.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_06142023-1214,text
2023-06-28,2023,"2023, BLUFFDALE CITY COUNCIL AND REDEVELOPMENT AGENCY COMBINED MEETING Agenda 06-28-2023 7:00 p.m.",council_2023-06-28_1227,minutes/2023/2023-06-26/council_2023-06-28_1227.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_06282023-1227,text
2023-07-12,2023,"2023, Bluffdale City Council Meeting Agenda 07-12-2023 at 7:00 p.m.",council_2023-07-12_1234,minutes/2023/2023-07-10/council_2023-07-12_1234.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_07122023-1234,text
2023-07-26,2023,"2023, Bluffdale City Council & Local Building Authority combined meeting agenda 07-26-2023",council_2023-07-26_1241,minutes/2023/2023-07-24/council_2023-07-26_1241.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_07262023-1241,text
2023-08-03,2023,"2023, Bluffdale City Council Meeting Agenda 08-03-2023",council_2023-08-03_1243,minutes/2023/2023-07-31/council_2023-08-03_1243.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_08032023-1243,text
2023-08-23,2023,"2023, BLUFFDALE CITY COUNCIL MEETING AGENDA Amended 08-23-2023",council_2023-08-23_1250,minutes/2023/2023-08-21/council_2023-08-23_1250.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_08232023-1250,ocr
2023-09-13,2023,"2023, BLUFFDALE CITY COUNCIL MEETING AGENDA 09-13-2023",council_2023-09-13_1268,minutes/2023/2023-09-11/council_2023-09-13_1268.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_09132023-1268,text
2023-09-19,2023,"2023, City Council Board of Canvassers Meeting Agenda 09-19-2023",council_2023-09-19_1270,minutes/2023/2023-09-18/council_2023-09-19_1270.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_09192023-1270,text
2023-09-27,2023,"2023, Bluffdale City Council Meeting Agenda 09-27-2023",council_2023-09-27_1273,minutes/2023/2023-09-25/council_2023-09-27_1273.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_09272023-1273,text
2023-10-11,2023,"2023, Bluffdale City Council and RDA Meeting Agenda 10-11-2023",council_2023-10-11_1289,minutes/2023/2023-10-09/council_2023-10-11_1289.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_10112023-1289,text
2023-11-08,2023,"2023, BLUFFDALE CITY COUNCIL- PLANNING COMMISSION Meeting Agenda 11-08-2023",council_2023-11-08_1308,minutes/2023/2023-11-06/council_2023-11-08_1308.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_11082023-1308,text
2023-12-05,2023,"2023, City Council Board of Canvassers Meeting Agenda 12-05-2023",council_2023-12-05_1315,minutes/2023/2023-12-04/council_2023-12-05_1315.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_12052023-1315,text
2023-12-13,2023,"2023, Bluffdale City Council, LBA, RDA Meeting Agenda 12-13-2023",council_2023-12-13_1320,minutes/2023/2023-12-11/council_2023-12-13_1320.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_12132023-1320,text
