year,election_type,contest,jurisdiction_slug,office,district,seats,candidate,party,votes,rank_in_contest,n_precincts,suppressed,source_file
2023,municipal general,Rocky Ridge Town Council,rocky_ridge,Council,At-Large,,SHANNON ALLRED,,39,3,1,false,raw/ev/ev-juab-2023-Nov-General-item-75b771d8-868a-405f-8ae2-be665ecacb7d.json
2023,municipal general,Rocky Ridge Town Council,rocky_ridge,Council,At-Large,,WENDY ALLRED,,26,4,1,false,raw/ev/ev-juab-2023-Nov-General-item-75b771d8-868a-405f-8ae2-be665ecacb7d.json
2023,municipal primary,Levan Town Council - 4 yr,levan,Council,At-Large,2,ALAN M. KENDALL,,106,1,0,false,raw/clerk/2023-09-05-primary-official.pdf
2023,municipal primary,Levan Town Council - 4 yr,levan,Council,At-Large,2,CHRISTOPHER J. CHIPPING,,106,2,0,false,raw/clerk/2023-09-05-primary-official.pdf
2023,municipal primary,Levan Town Council - 4 yr,levan,Council,At-Large,2,RACHEL GOATES,,94,3,0,false,raw/clerk/2023-09-05-primary-official.pdf
2023,municipal primary,Levan Town Council - 4 yr,levan,Council,At-Large,2,NATHAN JAMES WASHER,,84,4,0,false,raw/clerk/2023-09-05-primary-official.pdf
2023,municipal primary,Levan Town Council - 4 yr,levan,Council,At-Large,2,TYRA JACKMAN-WANKIER,,77,5,0,false,raw/clerk/2023-09-05-primary-official.pdf
2023,municipal primary,Levan Town Council - 4 yr,levan,Council,At-Large,2,CLAYTON SPERRY,,62,6,0,false,raw/clerk/2023-09-05-primary-official.pdf
2023,municipal primary,Mona City Council,mona,Council,At-Large,3,AMY STANLEY,,303,1,0,false,raw/clerk/2023-09-05-primary-official.pdf
2023,municipal primary,Mona City Council,mona,Council,At-Large,3,KRIS KAY,,244,2,0,false,raw/clerk/2023-09-05-primary-official.pdf
2023,municipal primary,Mona City Council,mona,Council,At-Large,3,KEVIN L. SQUIRE,,211,3,0,false,raw/clerk/2023-09-05-primary-official.pdf
2023,municipal primary,Mona City Council,mona,Council,At-Large,3,FRANK RIDING,,179,4,0,false,raw/clerk/2023-09-05-primary-official.pdf
2023,municipal primary,Mona City Council,mona,Council,At-Large,3,JANA CRAWFORD,,101,5,0,false,raw/clerk/2023-09-05-primary-official.pdf
2023,municipal primary,Mona City Council,mona,Council,At-Large,3,RUSSELL A. FORSYTH,,95,6,0,false,raw/clerk/2023-09-05-primary-official.pdf
2023,municipal primary,Mona City Council,mona,Council,At-Large,3,JUSTIN WEAVER,,60,7,0,false,raw/clerk/2023-09-05-primary-official.pdf
2023,municipal primary,Mona City Council,mona,Council,At-Large,3,JACK BOYD,,56,8,0,false,raw/clerk/2023-09-05-primary-official.pdf
2023,municipal primary,Mona City Council,mona,Council,At-Large,3,TIFFINIE MCAFEE,,50,9,0,false,raw/clerk/2023-09-05-primary-official.pdf
2023,municipal primary,Nephi City Council,nephi,Council,At-Large,3,TRAVIS L. WORWOOD,,733,1,0,false,raw/clerk/2023-09-05-primary-official.pdf
