source,motion_no,date,body,motion_type_native,motion_type_std,land_use_type,action_class,outcome,tally_aye,tally_nay,tally_other,vote_mode,result_raw,classify_method,classify_confidence
planning_commission/minutes/2024/2024-09-02/2024-09-03_planning-commission-meeting.md,1,2024-09-03,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,6,0,,roll-call,6:0 Pass,crosswalk,high
planning_commission/minutes/2024/2024-09-02/2024-09-03_planning-commission-meeting.md,2,2024-09-03,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,6,0,,roll-call,6:0 Pass,crosswalk,medium
planning_commission/minutes/2024/2024-09-02/2024-09-03_planning-commission-meeting.md,3,2024-09-03,PlanningCommission,Land-Use/Zoning,Land-Use,Site-Plan-Design-Review,final-action,pass,6,0,,roll-call,6:0 Approved (Final Action),rule:lu-site,high
planning_commission/minutes/2024/2024-09-16/2024-09-17_planning-commission-meeting.md,1,2024-09-17,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,5,0,,roll-call,5:0 Pass,crosswalk,high
planning_commission/minutes/2024/2024-09-16/2024-09-17_planning-commission-meeting.md,2,2024-09-17,PlanningCommission,Other,Contract-Purchase,,recommendation,pass,5,0,,roll-call,Positive recommendation 5:0,rule:contract-weak,medium
planning_commission/minutes/2024/2024-09-16/2024-09-17_planning-commission-meeting.md,3,2024-09-17,PlanningCommission,Land-Use/Zoning,Land-Use,Conditional-Use,final-action,pass,5,0,,roll-call,5:0 Approved (Final Action),rule:lu-cup,high
planning_commission/minutes/2024/2024-09-16/2024-09-17_planning-commission-meeting.md,4,2024-09-17,PlanningCommission,Land-Use/Zoning,Land-Use,Site-Plan-Design-Review,final-action,pass,5,0,,roll-call,5:0 Approved (Final Action),rule:lu-site,high
planning_commission/minutes/2024/2024-09-30/2024-10-01_planning-commission-meeting.md,1,2024-10-01,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,6,0,,roll-call,6:0 Pass,crosswalk,high
planning_commission/minutes/2024/2024-09-30/2024-10-01_planning-commission-meeting.md,2,2024-10-01,PlanningCommission,Land-Use/Zoning,Land-Use,Conditional-Use,final-action,pass,6,0,,roll-call,6:0 Approved (Final Action),rule:lu-cup,high
planning_commission/minutes/2024/2024-09-30/2024-10-01_planning-commission-meeting.md,3,2024-10-01,PlanningCommission,Land-Use/Zoning,Land-Use,Conditional-Use,final-action,pass,6,0,,roll-call,6:0 Approved (Final Action),rule:lu-cup,high
planning_commission/minutes/2024/2024-09-30/2024-10-01_planning-commission-meeting.md,4,2024-10-01,PlanningCommission,Land-Use/Zoning,Land-Use,Text-Amendment,recommendation,pass,6,0,,roll-call,Positive recommendation 6:0,rule:lu-textamend,high
planning_commission/minutes/2024/2024-10-14/2024-10-15_planning-commission-meeting.md,6,2024-10-15,PlanningCommission,Land-Use/Zoning,Land-Use,General-Plan-Amendment,recommendation,pass,5,2,,roll-call,Positive recommendation 5:2,rule:lu-gpa,high
planning_commission/minutes/2024/2024-10-14/2024-10-15_planning-commission-meeting.md,7,2024-10-15,PlanningCommission,Land-Use/Zoning,Land-Use,Development-Agreement,recommendation,pass,5,2,,roll-call,Positive recommendation 5:2,rule:lu-devagr,high
planning_commission/minutes/2024/2024-10-14/2024-10-15_planning-commission-meeting.md,8,2024-10-15,PlanningCommission,Land-Use/Zoning,Land-Use,Rezone,recommendation,pass,5,2,,roll-call,Positive recommendation 5:2,rule:lu-rezone,high
planning_commission/minutes/2024/2024-11-18/2024-11-19_planning-commission-meeting.md,1,2024-11-19,PlanningCommission,Other,Other,,final-action,pass,5,0,,roll-call,5:0 Approved (Final Action),rule:no-signal,low
planning_commission/minutes/2024/2024-11-18/2024-11-19_planning-commission-meeting.md,2,2024-11-19,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,5,0,,roll-call,5:0 Pass,crosswalk,high
planning_commission/minutes/2024/2024-11-18/2024-11-19_planning-commission-meeting.md,3,2024-11-19,PlanningCommission,Land-Use/Zoning,Land-Use,Subdivision-Plat,final-action,pass,5,0,,roll-call,5:0 Approved (Final Action),rule:lu-subdiv,high
planning_commission/minutes/2024/2024-11-18/2024-11-19_planning-commission-meeting.md,4,2024-11-19,PlanningCommission,Land-Use/Zoning,Land-Use,Conditional-Use,final-action,pass,5,0,,roll-call,5:0 Approved (Final Action),rule:lu-cup,high
planning_commission/minutes/2024/2024-11-18/2024-11-19_planning-commission-meeting.md,5,2024-11-19,PlanningCommission,Procedural/Administrative,Land-Use,General-Plan-Amendment,recommendation,pass,5,0,,roll-call,5:0 Pass,rule:lu-gpa,high
planning_commission/minutes/2024/2024-11-18/2024-11-19_planning-commission-meeting.md,6,2024-11-19,PlanningCommission,Land-Use/Zoning,Land-Use,Development-Agreement,recommendation,pass,5,0,,roll-call,Positive recommendation 5:0,rule:lu-devagr,high
planning_commission/minutes/2024/2024-11-18/2024-11-19_planning-commission-meeting.md,7,2024-11-19,PlanningCommission,Other,Other,,recommendation,pass,5,0,,roll-call,Positive recommendation 5:0,rule:no-signal,low
planning_commission/minutes/2024/2024-11-18/2024-11-19_planning-commission-meeting.md,8,2024-11-19,PlanningCommission,Other,Land-Use,Other-Land-Use,recommendation,pass,5,0,,roll-call,Positive recommendation 5:0,rule:lu-generic,medium
planning_commission/minutes/2024/2024-11-18/2024-11-19_planning-commission-meeting.md,9,2024-11-19,PlanningCommission,Other,Other,,recommendation,pass,5,0,,roll-call,Positive recommendation 5:0,rule:no-signal,low
planning_commission/minutes/2024/2024-11-18/2024-11-19_planning-commission-meeting.md,10,2024-11-19,PlanningCommission,Other,Other,,recommendation,pass,5,0,,roll-call,Positive recommendation 5:0,rule:no-signal,low
planning_commission/minutes/2024/2024-12-16/2024-12-17_planning-commission-meeting.md,1,2024-12-17,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,6,0,,roll-call,6:0 Pass,crosswalk,high
