application_id,app_key,body_id,name,rep_title
104,PlanningCommission|s|planning_commission/minutes/2020/2020-04-06/2020-04-09_planning-commission-meeting.md|2,2,,Commissioner Croshaw moved to conditionally approve a Subdivision Permit as outlined in PC 20-018 with the conditions and findings for approval as listed below. Commissioner Newman seconded the motion.
105,PlanningCommission|s|planning_commission/minutes/2020/2020-04-06/2020-04-09_planning-commission-meeting.md|4,2,,"Commissioner Goodlander moved to, forward a recommendation for denial to the Municipal Council for the zone change as outlined in PC 20-020 with the findings as listed below. Commissioner Newman seconded the motion."
106,PlanningCommission|s|planning_commission/minutes/2020/2020-04-06/2020-04-09_planning-commission-meeting.md|5,2,,Commissioner Croshaw moved to conditionally approve a Design Review & Conditional Use Permit as outlined in PC 20-021 with the amended conditions (striking the condition requiring the building to be placed 10-30’ from the back of the sidewalk along Main Street frontage to provide building mass along Main Street) and findings for approval as listed below. Commissioner Ortiz seconded the motion.
107,PlanningCommission|s|planning_commission/minutes/2020/2020-04-20/2020-04-23_planning-commission-meeting.md|4,2,,Commissioner Goodlander moved to forward a recommendation for denial to the City Council for a Code Amendment as requested and outlined in PC 20-024 with the findings for denial as listed below. Commissioner Lucero seconded the motion.
108,PlanningCommission|s|planning_commission/minutes/2020/2020-05-11/2020-05-14_planning-commission-meeting.md|1,2,,Commissioner Goodlander moved to conditionally approve a Design Review Permit as outlined in PC 20-019 with the amended findings as listed below. Commissioner Ortiz seconded the motion.
109,PlanningCommission|s|planning_commission/minutes/2020/2020-05-11/2020-05-14_planning-commission-meeting.md|2,2,,Commissioner Newman moved to conditionally approve a Design Review Permit as outlined in PC 20-019 with the amended findings as listed below. Commissioner Goodlander seconded the motion.
110,PlanningCommission|s|planning_commission/minutes/2020/2020-05-25/2020-05-28_planning-commission-meeting.md|1,2,,Commissioner Newman moved to conditionally approve a Subdivision Permit as outlined in PC 20-025 with the findings as listed below. Commissioner Lucero seconded the motion.
111,PlanningCommission|s|planning_commission/minutes/2020/2020-06-08/2020-06-11_planning-commission-meeting.md|1,2,,Commissioner Goodlander moved to conditionally approve a Conditional Use Permit as outlined in PC 20-027 with the findings as listed below. Commissioner Lucero seconded the motion.
112,PlanningCommission|s|planning_commission/minutes/2020/2020-06-22/2020-06-25_planning-commission-meeting.md|1,2,,Commissioner Dickinson moved to forward a recommendation for denial to the Municipal Council for a Zone Change as outlined in PC 20-022 with the findings listed below. Commissioner Newman seconded the motion.
113,PlanningCommission|s|planning_commission/minutes/2020/2020-06-22/2020-06-25_planning-commission-meeting.md|2,2,,"Commissioner Goodlander moved to continue the Design Review for PC 20-022 to the August 27, 2020 meeting after the City Council has made a decision regarding the zone change. Commissioner Ortiz seconded the motion."
