application_id,app_key,body_id,name,rep_title
82,Council|s|minutes/2023/2023-05-15/2023-05-16_city-council.md|3,1,,"DENY Ordinance No. 23-10 – M-1 Uses, PLZ-23-5004, Proposed amendment to the M-1 (Manufacturing Light Industries) Zone, Riverton Municipal Code 18.95-010, to allow a “zero lot line” setback for certain structures. Councilmember Buroker"
83,Council|s|minutes/2023/2023-07-17/2023-07-18_city-council.md|4,1,,"adopt Ordinance No. 23-13 -Text Amendment, Amendment to the Riverton City Code Section 18. (20,25,30,35,40).050.9, Amending the total allowed lot coverage in single-family residential zones, and amending Section 18.05.030 Definitions, excluding pools from coverage calculations. Councilmember Buroker"
84,Council|s|minutes/2024/2024-02-05/2024-02-06_city-council.md|4,1,,"adopt Ordinance No. 24-01 – Adopting Section 17.35, Review and Approval Process in Compliance with Utah State Page | 6 Minutes – City Council Meeting February 6, 2024 Code, regulating processing, review and approval of subdivisions in compliance with adopted Utah State Code, Ordinance proposed by Riverton City. Councilmember McCay"
85,Council|s|minutes/2024/2024-02-05/2024-02-06_city-council.md|5,1,,approve Resolution No. 24-19 – Conveying Real Property from Riverton City to the Riverton Redevelopment Agency. Councilmember Buroker
86,Council|s|minutes/2024/2024-03-18/2024-03-19_city-council.md|6,1,,"adopt Ordinance No. 24-02 – Amending Title 10, Section 10.10 Parking of the Riverton City Code Regarding Parking Page | 9 Minutes – City Council Meeting March 19, 2024 Regulations. Councilmember Buroker"
87,Council|homestead 2 rezone,1,Homestead 2 Rezone,"adopt Ordinance No. 24-07 – Homestead 2 Rezone, Proposed rezone of approximately 9.26-acres located at 12701 South 3600 West from RR-22 and C-PO with an Elderly Housing Overlay/Special Designations to RM-6 (Residential Medium-Density). Councilmember Buroker"
88,Council|s|minutes/2024/2024-06-17/2024-06-18_city-council.md|4,1,,"adopt Ordinance No. 24-10 the Development Agreement for Paige Retail Plaza, located at the southeast corner of 12800 S and Redwood Road, with the following elements: 1. The Pedestrian Oriented Overlay (PO-OV) shall be applied to the entire 3.9 acres, with the resulting zoning as C-D/PO-OV. 2. Minimum setbacks for structures and parking areas/drive aisles shall be as shown on the included site plan. 3. Buildings shall be limited to a single story, with architecture and exterior materials as shown in the included architectural drawings. Landscaping shall be compliant with the included plan and t"
89,Council|s|minutes/2024/2024-06-17/2024-06-18_city-council.md|5,1,,"adopt Ordinance No. 24-11 rezoning 1.06-acres located at 3807 West 11800 South to R-4/SD with the following designations: 1. The property will be limited to no more than four (4) lots, with one (1) unit per lot allowed. 2. The lots will be configured as close to 10,000 sf as possible. 3. The lots will comply with all other standards of the R-4 zone, including setbacks. 4. A five (5) foot internal side-yard setback is allowed. 5. Front setbacks shall be measured to property line. 6. Units are limited to single story, with an upper bonus room allowed. Councilmember McCay"
90,Council|s|minutes/2024/2024-07-15/2024-07-16_city-council.md|4,1,,"adopt Ordinance No. 24-12, Amending the General Plan to Medium Density Residential and Rezoning zoning to R- 4/SD the 5.08-acre parcel located at 2400 West 11800 South, with the SD designation that the northernmost lots be a minimum of 1/3 acre in size. Councilmember McCay"
91,Council|s|minutes/2024/2024-07-15/2024-07-16_city-council.md|5,1,,"adopt Ordinance No. 24-13 – School Code Text, Amending Section 18-195-060(3), regulating the requirements for private or quasi-public schools, with amendments as described in Exhibit A. Councilmember Buroker"
