application_id,app_key,body_id,name,rep_title
61,PlanningCommission|ludlow site plan,3,Ludlow Site Plan,"approve the conceptual and preliminary site plan for the Ludlow Site Plan located 2006 and 2020 East 3900 South for Plan A subject to the following: Findings: 1. The site has been rezoned to P-O, especially to facilitate office uses - specifically with a dental office being proposed for development on the property; 2. The concept site improvement/layout plan A and associated landscape plan complies with relevant zoning standards that appertain to the same, or, will comply contingent upon actions being taken by the developer (see conditions below); 3. The queuing and circulation plan provide customary ingress/egress with flow through the property; 4. The proposed use will not add expectedly an undue burden to public infrastructure nor introduce nuisance or hazardous conditions to the property, its surrounds, or the public; and, 5. Utility and emergency services are available to the property; 6. Plan B provides equivalency to Plan A save respecting setback conformance and a minor amount of land coverage; and 7. The Plans provide buffering to/for the residential property(ies) south and southeast of the property. Conditions: 1. Applicant/project shall comply with the PC approved site plan “B” as selected by the Commission; 2. Applicant shall re-design the approved Plan to move the egress approach on 2000 East to comply with § 14.12.110.A; 3. Approval by the City Engineer of compliance with Title 14 on the egress off of 2000 East; and 4. Defer final approval to staff. City of Holladay Planning Commission Meeting - 02/18/2020 3"
62,PlanningCommission|s|minutes/2020/2020-03-02/2020-03-03_planning-commission_wayback.md|3,3,,recommend approval to the City Council of a Zone Map Amendment to rezone property located at 2417 East Butternut Road from R-1-10 to R-1-8. The motion was
63,PlanningCommission|s|minutes/2020/2020-03-02/2020-03-03_planning-commission_wayback.md|5,3,,"forward a positive recommendation to the City Council for Ordinance Amendment 13.81 Land Use Violations for illegal operation of a short-term rental, as proposed. It was suggested that the City Council consider a significant daily fine to deter future illegal short-term rentals. The motion was based on the following: Findings: 1. The proposed amendment supports the long-range purposes of the General Plan to preserve primarily residential neighborhoods from decidedly commercial operations. 2. A Short-Term Rental (“STR”), as a land use, traditionally attracts transient activity, not normally associated with residential neighborhoods. 3. Enforcement by the City is expected by residents who feel they have been negatively affected by STRs operating in violation of the current Code. City of Holladay Planning Commission Meeting - 03/03/2020 6 The motion was"
64,PlanningCommission|conceptual subdivision,3,Conceptual Subdivision,"approve the Conceptual Subdivision proposal from Jeff Kruckenberg from Alan Kruckenberg Construction for the Weyburn Retreat located at 1306 East Spring Lane based on the following: Findings: 1. Sufficient information has been received and reviewed by the city to show compliance with the requirement for conceptual subdivision approval. 2. A traffic study has been performed to examine capacity, safety and other concerns related to the proposed development. 3. As noted earlier in the report, the traffic study directly addresses many of the concerns and concludes that the subdivision street and access plan as proposed is appropriate given the level of proposed development. The study also includes a few recommendations to improve upon the plan such as striping Tobermory Lane and banning parking on the south side of Spring Lane with red curbs and signs. These recommendations should be specifically implemented as conditions of any future approval of the subdivision and conditional use permit. 4. Unified Fire Authority indicates support for the proposal. 5. Any corrections, edits to the concept plan as identified by City staff. The applicant was encouraged to work with staff to resolve the following: 1. Parking issues on Tobermory Way. 2. Return the road and fencing to its current condition. 3. Road widening. 4. Sidewalk issue. 5. Utilize the current church access for construction. City of Holladay Planning Commission Meeting - 04/21/2020 6 6. The City should consider the appropriateness of restricting parking on the south side of Spring Lane between 1300 East and Tobermory Ridge Road"
65,PlanningCommission|conceptual site plan,3,Conceptual Site Plan,"APPROVE the Conceptual Site Plan application by Brad Reynolds for “1740 East Townhomes,” a nine-unit multi-family residential development, located at 4821 South 1740 East in the R-M Zone, based upon the findings: 1. The requirements for the Conceptual Site Plan have been substantially completed. 2. The development complies with the minimum area required for a nine-unit multi-family home development in the R-M Zone. 3. The development complies with the General Plan. 4. Parking minimums of 18 spaces are met with garage parking. This approval is subject to the following requirements: 1. Submit the required area and use table, per the Concept Plan checklist. 2. Submit SLCPU availability when received, prior to Preliminary submission. 3. Address engineering comments prior to submission of the Preliminary Site Plan. 4. Include all required preliminary submission items, as required in 13.03.030. 5. Provide CC&R, specifically detailing maintenance of access lane and stormwater retention areas. 6. The Fire Marshal's suggestions must be taken into account and brought forward"
66,PlanningCommission|s|minutes/2020/2020-05-04/2020-05-05_planning-commission_wayback.md|1,3,,continue the request for a Conditional Use Permit for Weyburn Retreat PUD located at 1306 Spring Lane. The following information was sought: 1. Provide adequate parking on site. 2. Provide information on the continuance of the sidewalk design. 3. Provide specifics of a Shared Maintenance Agreement. 4. Provide additional information on the moving of utilities with the goal being to widen the road to 22 feet
67,PlanningCommission|s|minutes/2020/2020-05-04/2020-05-05_planning-commission_wayback.md|2,3,,"approve the Conditional Use Permit for the Cotton Bottom Restaurant and Bar at 6252 South Holladay Boulevard subject to the following: Findings: 1. The use complies with the LU zone. 2. The proposal will enhance the viability of the site and provide enhances sales and property tax benefits to the City. 3. The general public has asked for the city to retain this use for a number of years. 4. The use as proposed complies with the Request for Proposal issued by the City for this property. 5. The Cotton Bottom project as proposed complies with the specific requirement of Section 13.08 of the Holladay Code regarding conditional use as follows. a. It is consistent with policies set forth in the city's general plan applicable to the site where the conditional use will be located. b. It is allowed by the zone regulations where the conditional use will be located. c. It is compatible with the character of the site, adjacent properties and uses, and existing development within the vicinity of the site where the use will be located. d. It provides vehicular access to the site without materially degrading the existing level of service of the abutting streets. e. Has all driveways oriented to direct traffic to streets, major or local, without impacting the safety, purpose, and character of these streets. f. May have street-side parking for the proposed use, in areas of the site that will not adversely impact the reasonable use of adjacent properties. g. Will accommodate peak traffic to the site without impairing the use and enjoyment of adjacent properties. City of Holladay Planning Commission Meeting - 05/05/2020 8 h. It provides an internal circulation system designed to mitigate adverse impacts on the adjacent property from motorized, nonmotorized, and pedestrian traffic. i. Will, upon PC imposed requirements have restricted hours of operation of the proposed conditional use in relation to the hours of activity or operation of other nearby uses to mitigate noise, light, odor, or other nuisances that unreasonably impair the use and enjoyment of adjacent properties. j. Has or will have existing or proposed utility and public services will be adequate to support the proposed use at normal service levels and is designed in a manner to avoid adverse impacts on adjacent land uses, public services, and utility resources. k. Will have appropriate buffering, such as landscaping, setbacks, and building location, to protect adjacent land uses from light, noise, and visual impacts result. Also, this use will not: a. Contribute to a detrimental concentration of existing nonconforming or conditional uses substantially similar to the use proposed within one- fourth (1/4) mile of the exterior boundary of the subject property; b. Result in loss of privacy, objectionable views of large parking or storage areas; or views or sounds of loading and unloading areas; and c. Encroach on or cause erosion of the bank of a river or stream, or direct runoff into a river or stream without approval by the appropriate stormwater authority. Conditions: 1. The use must obtain all applicable licenses from the State of Utah DABC, the City of Holladay, Salt Lake County, and any other applicable entity which has jurisdiction over this use. 2. Hours of operation for outdoor use shall be limited to 10:00 p.m. as determined by the DABC and the City of Holladay. 3. Operation of the parking and patio areas shall be done in a manner to minimize overcrowding the parking areas, public streets, and negatively impacting surrounding residential property abutting restaurants and Knudsen Park. 4. Significant changes to the use must be approved by the City of Holladay zoning ordinance. City of Holladay Planning Commission Meeting - 05/05/2020 9 5. The hours of operation for the internal use shall be as per the DABC hours of operation. 6. Keep the Cotton Bottom name and logo"
68,PlanningCommission|s|minutes/2020/2020-05-04/2020-05-05_planning-commission_wayback.md|3,3,,approve the preliminary site plan for Cotton Bottom based on the following: Findings: 1. The site plan complies with the requirements of the Holladay Zoning ordinance and with the approved checklists for this development with the exception of a few minor items that can be handled at staff level (TRC) after this approval. Conditions: 1. Submittal and resolution by the applicant of minor remaining items identified by the TRC at staff level in preparation for final approval. 2. Delegate final site plan approval to the Technical Review Committee (“TRC”) but not until all preliminary site plan items are complete
69,PlanningCommission|s|minutes/2020/2020-05-18/2020-05-19_planning-commission_wayback.md|1,3,,"approve the Conditional Use Permit for Weyburn Retreat subject to the following: Conditions: 1. A Shared Maintenance Agreement shall be entered into between the HOAs of both projects. 2. All exterior lighting shall be downlit and night sky compliant. 3. The Salt Lake City water provider issue a will serve letter. 4. Professional designers shall be employed for architecture and landscaping. 5. The new drawings presented at this meeting shall be adopted. 6. There shall be a 15-foot radius cut around the box. TRC Findings: 1. The use is consistent with the city’s general plan and the zone in which it is located. City of Holladay Planning Commission Meeting - 05/19/2020 4 2. The use is compatible with the land use character in the immediate area. 3. Provides a more affordable housing alternative to single-family development in a time of dramatic housing shortages locally and regionally. 4. Enhances property values in the area as it replaces underutilized institutional use, contrasts with older development to the east, and dovetails with existing similarly zoned recent development immediately to the south. 5. Will result in minimal traffic impact on (no through traffic) on adjacent residential neighborhoods. 6. Will have minimal impact on adjacent public streets, 1300 E and Spring Lane. 7. The PUD as proposed complies with the allowance for this amount and type of development in the R-M zone. No more than 16 total dwellings; 8 twin-homes will be allowed. 8. The height of the dwellings complies with the R-M zone. Height will not exceed 30 feet as defined by City ordinance. 9. The buildings are no more than two stories abutting Tobermory. 10. Buildings meet or exceed the minimum 20-foot setback for development on corner properties from both Spring Lane and 1300 East. 11. Improves pedestrian access. 12. Preserves vegetation and open space and minimizes impact on the slopes and will add new tree canopy to the community. 13. Vehicular access to the site (ingress/egress plan) is in line with the recommendations of the City’s professional transportation consultant, Dr. Joe Perrin, (Traffic study on file) regarding capacity and safety including: a. Tobermory Lane as proposed by the applicant will be widened by 2 feet for each travel lane; (see attached graphic). This will provide a total of 22 feet of right-of-way width with 20 feet drivable instead of 16 feet currently. (See attached graphic). b. Adding a stripe to the middle of Tobermory lane as recommended by Dr. Perrin. c. Installation of a four-foot-wide sidewalk from Weyburn Lane to Spring Lane for use of all residents of both Tobermory Ridge and Weyburn City of Holladay Planning Commission Meeting - 05/19/2020 5 with the applicant granting access across private property for the general public to use and enjoy. (See attached graphic). 14. The architecture (See attached color graphics) is attractive and in character with other PUDs in Holladay. In response to a question about the radius, Commissioner Layton explained that currently, the radius is 15 feet from Spring Lane and Tobermory Way. A 25-foot radius would broaden the shape of the arc, which would extend across the utilities. He commented that 25 feet is a very broad turning radius for a small street. By comparison, it was noted that the radius into Weyburn is 28 feet. Sidewalk continuity and safety issues were discussed"
70,PlanningCommission|s|minutes/2020/2020-05-18/2020-05-19_planning-commission_wayback.md|2,3,,"approve the Conditional Use Permit for Weyburn Retreat subject to the following: Conditions: 1. The sidewalk shall be constructed on the west side of Tobermory Way. 2. A Shared Maintenance Agreement shall be entered into between the HOAs of both projects. City of Holladay Planning Commission Meeting - 05/19/2020 6 3. All exterior lighting shall be downlit and night sky compliant. 4. The Salt Lake City water provider issue a will serve letter. 5. Professional designers shall be employed for architecture and landscaping. 6. The new drawings presented at this meeting shall be adopted. 7. There shall be a 15-foot turn radius cut around the utility box. TRC Findings: 1. The use is consistent with the city’s general plan and the zone in which it is located. 2. The use is compatible with the land use character in the immediate area. 3. Provides a more affordable housing alternative to single-family development in a time of dramatic housing shortages locally and regionally. 4. Enhances property values in the area as it replaces underutilized institutional use, contrasts with older development to the east, and dovetails with existing similarly zoned recent development immediately to the south. 5. Will result in minimal traffic impact on (no through traffic) on adjacent residential neighborhoods. 6. Will have minimal impact on adjacent public streets, 1300 E and Spring Lane. 7. The PUD as proposed complies with the allowance for this amount and type of development in the R-M zone. No more than 16 total dwellings; 8 twin-homes will be allowed. 8. The height of the dwellings complies with the R-M zone. Height will not exceed 30 feet as defined by City ordinance. 9. The buildings are no more than two stories abutting Tobermory. 10. Buildings meet or exceed the minimum 20-foot setback for development on corner properties from both Spring Lane and 1300 East. 11. Improves pedestrian access. 12. Preserves vegetation and open space and minimizes impact on the slopes and will add new tree canopy to the community. City of Holladay Planning Commission Meeting - 05/19/2020 7 13. Vehicular access to the site (ingress/egress plan) is in line with the recommendations of the City’s professional transportation consultant, Dr. Joe Perrin, (Traffic study on file) regarding capacity and safety including: a. Tobermory Lane as proposed by the applicant will be widened by 2 feet for each travel lane; (see attached graphic). This will provide a total of 22 feet of right-of-way width with 20 feet drivable instead of 16 feet currently. (See attached graphic). b. Adding a stripe to the middle of Tobermory lane as recommended by Dr. Perrin. c. Installation of a four-foot-wide sidewalk from Weyburn Lane to Spring Lane for use of all residents of both Tobermory Ridge and Weyburn with the applicant granting access across private property for the general public to use and enjoy. (See attached graphic). 14. The architecture (See attached color graphics) is attractive and in character with other PUD’s in Holladay"
