source,motion_no,date,body,motion_type_native,motion_type_std,land_use_type,action_class,outcome,tally_aye,tally_nay,tally_other,vote_mode,result_raw,classify_method,classify_confidence
pmn_backfill/roa/2023-09-27_pc-roa.md,4,2023-09-27,PlanningCommission,Ordinance Text Amendment,Land-Use,Text-Amendment,recommendation,pass,9,0,,roll-call,Positive recommendation 9:0,crosswalk,high
pmn_backfill/roa/2023-09-27_pc-roa.md,5,2023-09-27,PlanningCommission,Project Plan,Land-Use,Site-Plan-Design-Review,final-action,pass,9,0,,roll-call,9:0 Approved (Final Action),crosswalk,high
pmn_backfill/roa/2023-09-27_pc-roa.md,6,2023-09-27,PlanningCommission,Rezone,Land-Use,Rezone,recommendation,pass,9,0,,roll-call,Positive recommendation 9:0,crosswalk,high
pmn_backfill/roa/2023-09-27_pc-roa.md,7,2023-09-27,PlanningCommission,Ordinance Text Amendment,Land-Use,Text-Amendment,procedural,pass,9,0,,roll-call,9:0 Continued (Final Action),crosswalk,high
pmn_backfill/roa/2023-09-27_pc-roa.md,8,2023-09-27,PlanningCommission,Subdivision/Plat,Land-Use,Subdivision-Plat,final-action,pass,9,0,,roll-call,9:0 Approved (Final Action),crosswalk,high
pmn_backfill/roa/2023-09-27_pc-roa.md,9,2023-09-27,PlanningCommission,Rezone,Land-Use,Rezone,recommendation,pass,9,0,,roll-call,Positive recommendation 9:0,crosswalk,high
pmn_backfill/roa/2023-10-25_pc-roa.md,1,2023-10-25,PlanningCommission,Subdivision/Plat,Land-Use,Subdivision-Plat,final-action,pass,6,0,,roll-call,6:0 Approved (Final Action),crosswalk,high
pmn_backfill/roa/2023-10-25_pc-roa.md,2,2023-10-25,PlanningCommission,Rezone,Land-Use,Rezone,recommendation,pass,4,2,,roll-call,Positive recommendation 4:2,crosswalk,high
pmn_backfill/roa/2023-10-25_pc-roa.md,3,2023-10-25,PlanningCommission,Ordinance Text Amendment,Land-Use,Text-Amendment,recommendation,pass,6,0,,roll-call,Positive recommendation 6:0,crosswalk,high
pmn_backfill/roa/2023-10-25_pc-roa.md,4,2023-10-25,PlanningCommission,Ordinance Text Amendment,Land-Use,Text-Amendment,recommendation,pass,6,0,,roll-call,Positive recommendation 6:0,crosswalk,high
