application_id,app_key,body_id,name,rep_title
54,CDRA|s|minutes/2024/2024-07-15/2024-07-16_work-session-and-business-meeting.md|7,1,,"MOTION: Council Member Newell moved to APPROVE the Minutes of the City Council Work Session, CDRA, and City Council Business Meeting Minutes of July 2, 2024. The motion was seconded by Council Member Hyland"
55,CDRA|s|minutes/2024/2024-08-05/2024-08-06_work-session-and-business-meeting.md|4,1,,"MOTION: Council Member Hyland moved to APPROVE the Minutes of the City Council Work Session, CDRA, and City Council Business Meeting Minutes of July 16, 2024. The motion was seconded by Council Member Newell"
56,CDRA|s|minutes/2024/2024-09-09/2024-09-10_work-session-and-business-meeting.md|4,1,,MOTION: Board Member Newell moved to ADJOURN the CDRA Meeting. The motion was seconded by Board Member Hyland
57,Council|s|minutes/2024/2024-09-09/2024-09-10_work-session-and-business-meeting.md|5,2,,MOTION: Council Member Newell moved to APPROVE Ordinance 421 – Amending Title 19 of the Cottonwood Heights Code of Ordinances. The motion was seconded by Council Member Holton. Vote on Motion: Council Member Hyland-Aye; Council Member Newell-Aye; Council Member Birrell-Aye; Council Member Holton-Aye; Mayor Weichers-Aye
58,CDRA|s|minutes/2024/2024-09-16/2024-09-17_work-session-and-business-meeting.md|3,1,,MOTION: Board Member Newell moved to ADJOURN the CDRA Meeting. The motion was seconded by Board Member Holton
59,Council|s|minutes/2024/2024-09-30/2024-10-01_work-session-and-business-meeting.md|3,2,,"MOTION: Council Member Newell moved to APPROVE Ordinance 422 – Amending Chapter 9.05, Cottonwood Heights Code of Ordinances, Regarding Nuisances. The motion was seconded by Council Member Hyland"
60,Council|wasatch boulevard master plan,2,Wasatch Boulevard Master Plan,MOTION: Council Member Birrell moved to APPROVE Ordinance 425 – Amending the Wasatch Boulevard Master Plan Element of the City’s General Plan. The motion was seconded by Council Member Hyland. Vote on Motion: Council Member Holton-Aye; Council Member Hyland-Aye; Council Member Birrell-Aye; Council Member Newell-Aye
61,CDRA|s|minutes/2024/2024-12-16/2024-12-17_work-session-and-business-meeting.md|2,1,,MOTION: Board Member Holton moved to APPROVE Resolution 2024-04 – Approving a Third Amendment to the Development Agreement for the Canyon Centre CDA. The motion was seconded by Board Member Newell. Vote on Motion: Board Member Holton-Aye; Board Member Hyland- Aye; Board Member Newell-Aye; Board Member Birrell-Aye; Chair Weichers-Aye
62,CDRA|s|minutes/2024/2024-12-16/2024-12-17_work-session-and-business-meeting.md|3,1,,MOTION: Board Member Hyland moved to ADJOURN the CDRA Meeting. The motion was seconded by Board Member Birrell
63,CDRA|project area plan,1,Project Area Plan,MOTION: Board Member Newell moved to APPROVE 2025-01 Authorizing Preparation of a Third Amendment to the Project Area Plan for the Canyon Centre CDA. The motion was seconded by Board Member Hyland. Vote on Motion: Board Member Holton-Aye; Board Member Hyland- Aye; Board Member Newell-Aye; Chair Weichers-Aye
64,CDRA|s|minutes/2025/2025-01-06/2025-01-07_work-session-and-business-meeting.md|3,1,,MOTION: Board Member Hyland moved to ADJOURN the CDRA Meeting. The motion was seconded by Board Member Holton
65,CDRA|s|minutes/2025/2025-01-20/2025-01-21_work-session-and-business-meeting.md|4,1,,MOTION: Board Member Hyland moved to ADJOURN the CDRA Meeting. The motion was seconded by Board Member Newell
66,CDRA|third amended project area plan,1,Third Amended Project Area Plan,"MOTION: Board Member Hyland moved to APPROVE Resolution 2025-03 Adopting the Third Amended Project Area Plan and Second Amended Project Area Budget for the Canyon Centre Community Development Area (“CDA”). The motion was seconded by Board Member Holton. Vote on Motion: Board Member Holton-Yes, Board Member Hyland-Yes; Board Member Newell-Yes; Board Member Birrell-Yes; Chair Weichers-Yes"
67,CDRA|s|minutes/2025/2025-02-17/2025-02-18_work-session-and-business-meeting.md|3,1,,MOTION: Board Member Newell moved to ADJOURN the CDRA Meeting. The motion was seconded by Board Member Holton
68,Council|third amended project area plan,2,Third Amended Project Area Plan,MOTION: Council Member Birrell moved to APPROVE Ordinance 430 Approving the Third Amended Project Area Plan for the Canyon Centre CDA. The motion was seconded by Council Member Holton. Vote on Motion: Council Member Hyland – Yes; Council Member Newell – Yes; Council Member Birrell – Yes; Council Member Holton – Yes; Mayor Weichers – Yes
69,Council|s|minutes/2025/2025-02-17/2025-02-18_work-session-and-business-meeting.md|5,2,,MOTION: Council Member Newell moved to APPROVE Ordinance 431 Confirming and Ratifying the “Tavaci” Annexation. The motion was seconded by Council Member Hyland. Vote on Motion: Council Member Newell – Yes; Council Member Birrell – No; Council Member Holton – Yes; Council Member Hyland – Yes; Mayor Weichers – Yes
70,Council|s|minutes/2025/2025-02-17/2025-02-18_work-session-and-business-meeting.md|6,2,,MOTION: Council Member Birrell moved to APPROVE Ordinance 432 Establishing Temporary Land Use Regulations for Live/Work Spaces and Commencing Proceedings to Amend Ordinances. The motion was seconded by Council Member Hyland. Vote on Motion: Council Member Birrell – Yes; Council Member Holton – No; Council Member Hyland – Yes; Council Member Newell – Yes; Mayor Weichers – Yes
71,Council|s|minutes/2025/2025-03-03/2025-03-04_work-session-and-business-meeting.md|3,2,,MOTION: Council Member Hyland moved to APPROVE Ordinance 434 Amending Chapter 8.04 (“Definitions”) of the Cottonwood Heights Code. The motion was seconded by Council Member Newell. Vote on Motion: Council Member Hyland – Yes; Council Member Newell – Yes; Council Member Birrell – Yes; Council Member Holton – Yes; Mayor Weichers – Yes
72,Council|s|minutes/2025/2025-03-17/2025-03-18_work-session-and-business-meeting.md|2,2,,MOTION: Council Member Hyland moved to APPROVE Ordinance 435 – Approving the Rezone of 1.46 Acres of Realty located at 8145 South Pinecreek Lane from RR-1-43 (Rural Residential Single-Family) to RR-1-21 (Residential Single-Family) and Amending the Zoning Map. The motion was seconded by Council Member Newell. Vote on Motion: Council Member Hyland – Yes; Council Member Newell – Yes; Mayor Weichers – Yes
73,Council|s|minutes/2025/2025-03-31/2025-04-01_work-session-and-business-meeting.md|5,2,,"MOTION: Council Member Holton moved to APPROVE Resolution 2025-22 Approving a Preliminary Official Statement Concerning the Issuance of Up to $30 Million of General Obligation Bonds for Refunding, City Improvements, and Related Matters. The motion was seconded by Council Member Hyland. Vote on Motion: Council Member Holton – Yes; Council Member Hyland – Yes; Council Member Birrell – Yes; Council Member Newell – Yes"
74,Council|s|minutes/2025/2025-04-14/2025-04-15_work-session-and-business-meeting.md|3,2,,MOTION: Council Member Newell moved to APPROVE Ordinance 436 Amending the PDD-2 Zoning Ordinance Enacted Under Ordinance 363-A. The motion was seconded by Council Member Hyland. Vote on Motion: Council Member Hyland – Yes; Council Member Newell – Yes; Council Member Birrell – No; Mayor Weichers – Yes
75,Council|consider such annexation,2,Consider Such Annexation,"MOTION: Council Member Newell moved to APPROVE Resolution 2025-26 Indicating Intent to Annex an Unincorporated Area, Setting a Hearing to Consider Such Annexation, and Directing Publication of Hearing Notice. The motion was seconded by Council Member Hyland. Vote on Motion: Council Member Birrell – Yes; Council Member Hyland – Yes; Council Member Newell – Yes; Mayor Weichers – Yes"
76,Council|s|minutes/2025/2025-05-19/2025-05-20_work-session-and-business-meeting.md|2,2,,"MOTION: Council Member Hyland moved to APPROVE Ordinance 440 Approving “Creek Road West” Annexation and Imposing Temporary Zoning Regulations. The motion was seconded by Council Member Holton. Vote on motion: Council Member Holton – Yes, Council Member Hyland – Yes, Council Member Newell – Yes, Council Member Birrell – Yes, Mayor Weichers – Yes"
77,CDRA|s|minutes/2025/2025-05-19/2025-05-20_work-session-and-business-meeting.md|5,1,,"MOTION: Council Member Holton moved to APPROVE Resolution 2025-38 Approving and Ratifying a Second Amended Interlocal Agreement with the City’s CDRA for the Canyon Centre Project Area. The motion was seconded by Council Member Newell. Vote on motion: Council Member Birrell – Yes, Council Member Holton – Yes, Council Member Hyland – Yes, Council Member Newell – Yes, Mayor Weichers – Yes"
78,CDRA|s|minutes/2025/2025-06-02/2025-06-03_work-session-and-business-meeting.md|2,1,,MOTION: Board Member Newell moved to ADJOURN the regular CDRA meeting and moved into a closed meeting to discuss the Lease of Real Property. The motion was seconded by Board Member Holton
79,CDRA|s|minutes/2025/2025-06-02/2025-06-03_work-session-and-business-meeting.md|3,1,,MOTION: Board Member Hyland moved to ADJOURN the CDRA Meeting. The motion was seconded by Board Member Holton
80,Council|s|minutes/2025/2025-06-02/2025-06-03_work-session-and-business-meeting.md|4,2,,"MOTION: Council Member Holton moved to TABLE Ordinance 441-A and Ordinance 441-B to the July 15, 2025, City Council Meeting to allow time for a Development Agreement to be drafted. The motion was seconded by Council Member Birrell"
81,Council|s|minutes/2025/2025-06-02/2025-06-03_work-session-and-business-meeting.md|5,2,,"MOTION: Council Member Holton moved to TABLE Ordinance 442-A and Ordinance 442-B to the July 15, 2025, City Council Meeting to allow time for a Development Agreement to be drafted. The motion was seconded by Council Member Birrell"
82,Council|s|minutes/2025/2025-06-30/2025-07-01_work-session-and-business-meeting.md|3,2,,MOTION: Council Member Hyland moved to APPROVE Ordinance 446 – Approving the “Water Vista Way” Annexation. The motion was seconded by Council Member Birrell. Vote on Motion: Council Member Hyland-Aye; Council Member Newell-Aye; Council Member Birrell- Aye; Council Member Holton-Aye; Mayor Weichers-Aye
83,CDRA|s|minutes/2025/2025-07-14/2025-07-15_work-session-and-business-meeting.md|2,1,,MOTION: Council Member Holton moved that the CDRA go into CLOSED MEETING. The motion was seconded by Council Member Hyland
