stem,bytes,chars,status
729316_2021-6-16_Consent_Agenda,1690528,107998,extracted
729318_2021-6-10_Water_Rates_Report,126986,6407,extracted
729312_2021-6-7_Determination_Letter_Location,158571,2034,extracted
729320_2021-R-8_DRAFT_Resolution_amending_2020.2021_budgets_w_attachment,166029,37605,extracted
729322_2021-R-9_Resolution_Amended_water_rates_draft,98823,7721,extracted
729324_2021-R-10_DRAFT_budgets_for_2021.2022_CTR_.000785_w_attach,176169,39701,extracted
729326_2021-R-11_Resolution_ASSD_budget_and_CTR,10031,808,extracted
729328_2021-R-12_DRAFT_2021-2022_CTR_only,61673,1700,extracted
734541_2021-6-30_Town_Council_Agenda,256505,3379,extracted
734543_Staff_report_fire_restrictions,128938,2390,extracted
734539_2021-6-7_Determination_Letter_Location,158571,2034,extracted
734545_2021-O-3_Alta_Year_Round_Fire_Restrictions,89689,6617,extracted
734547_2021-O-4_Alta_Fireworks_Restrictions_w_exhibits,1102628,65377,extracted
734549_2021-6-30-C-REP-Board-Appointments,164386,2538,extracted
738189_2021-7-14_Town_Council_Agenda,281897,4469,extracted
738191_2021-7-14_Consent_Agenda,1618416,115956,extracted
738187_2021-7-14_Determination_Letter_Location,159010,2046,extracted
738193_Peruvian_Estates_parking_history,106383,5687,extracted
738195_2021-O-5_DRAFT_peruvian_estates_STR_business_license_requirements.1,42365,3457,extracted
738197_2021-O-5_DRAFT_peruvian_estates_STR_business_license_requirements.2,42436,3460,extracted
742389_2021-7-28_Community_Listening_Session_Agenda,194582,3299,extracted
742009_2021-7-28_Community_Listening_Session_Guidelines,177226,3305,extracted
747697_2021-8-11_Town_Council_Agenda_Amended_v1,328362,4928,extracted
747699_2021-8-11_Consent_Agenda.1,1930825,136835,extracted
746333_2021-8_Determination_Letter_Location,158257,2023,extracted
746337_2021-R-13_Corrected_and_Replaced_Resolution_water_rates_redlined,98089,7835,extracted
746469_Alta_Business_License_Fee_Study_DRAFT_071421,671880,57157,extracted
747715_Business_License_Ordinance_2021-O-6,72909,4446,extracted
747717_2021-R-14_Town_of_Alta_Fee_Schedule_updated_003,69172,1980,extracted
747719_license_amendments_Exhibt_B,69353,4956,extracted
747721_toa-fee-sched-aug_2021_v.1_003,366004,26728,extracted
755901_2021-9-8_Town_Council_Agenda,276699,4702,extracted
755907_Consent_Agenda,1825494,148588,extracted
755903_Staff_Memo_Business_License_Study,331709,8469,extracted
755905_2022-Proposed-CapitalProjectsPlan-StaffReport,283294,20098,extracted
755909_2021-R-14_No_LCC_Olympic_Venues_HS_002,104691,1991,extracted
755911_2021-O-6_Business_License_Ordinance_w_attach,836205,70047,extracted
755913_2021-R-15_Repeal_Replace_Fee_Schedule_w_attach,362993,28217,extracted
755915_2021-9_Determination_Letter_Location,158232,2025,extracted
756265_2021-O-7_Permit_Parking_Ordinance_DRAFT,98157,7100,extracted
756801_Mayor039s_Comments_for_Sept_8,169617,10513,extracted
758161_2019-9-8-ParkingPresi,857785,9093,extracted
762837_2021-9-29_Town_Council_Agenda,269356,4269,extracted
762839_21-9-21_Staff_Memo_Business_License_Study_Fee_Schedule_Options,357131,10795,extracted
762841_2021-O-8_Business_License_Ordinance_draft_092221,1379235,78333,extracted
762843_2021-R-16-Repeal_Replace_Resolution_w_Fee_Schedule,976790,20505,extracted
762845_2021-R-17_No_LCC_Olympic_Venues,105802,1991,extracted
762883_2021-9-21_Determination_Letter_Location_revised,158806,2078,extracted
767897_2021-10-13_Town_Council_Agenda,274631,4291,extracted
767899_10-13-21_Consent_Agenda,1541085,107173,extracted
768829_2021-FehrampPeers-Parking-Memo,3950635,28763,extracted
767895_2021-9-21_Determination_Letter_Location_revised,158806,2078,extracted
767901_Resume_MarenAskins,76275,3774,extracted
767903_Resume_RowanJhamb,100978,2682,extracted
768831_2021-10-7_Alta_Fee_Schedule_draft,391579,20394,extracted
768833_2021-R-18-Repeal_Replace_Fee_Schedule,10927,1239,extracted
769297_Resume_RebeccaHall,81808,1933,extracted
769859_21-10-13_Public_Comments_4,647663,5177,extracted
770659_2021-R-18-Repeal_Replace_Fee_Schedule,342893,20674,extracted
779227_2021-11-10_Town_Council_Agenda,279438,5185,extracted
779229_2021-11-10_Consent_Agenda,1439773,96144,extracted
779231_RMP_franchise_agreement_staff_report_nov_1,79416,4621,extracted
779235_2021-11-5-Parking-Staff-Report,214716,4426,extracted
779223_2021-11-10_Determination_Letter_Location_revised,158815,2050,extracted
779225_Public_Hearings_Notice,73811,884,extracted
779233_2021-O-10_RMP_2022_Franchise_Agreement,166424,18297,extracted
779237_2021.11.5_ASL_MOU,472180,10208,extracted
779239_2021-O-9_Quasi-public_Parking_Ordinance,148342,2073,extracted
779241_2021.11.02_Interstate_Parking_Contract,5047803,0,image_only
780057_AMO_wage_and_budget_information,155605,9795,extracted
781809_2021-O-10_RMP_2022_Franchise_Agreement_SIGNED,156495,18285,extracted
781959_2021-O-9_Quasi-public_Parking_Ordinance_Signed_Exhibit,2473147,2378,extracted
781759_2021-11-16_Town_Council_Agenda,267763,3923,extracted
781757_2021-11-12_Determination_Letter_Location,158856,2067,extracted
784307_2021_Election_Certification,82677,0,image_only
789027_2021-12-8_Town_Council_Agenda,279891,4893,extracted
789035_21-12-8_Consent_Agenda,1418371,99002,extracted
789031_Town_of_Alta_-_FY2021_Audit_Report,816609,166016,extracted
789891_2021-12-6-ACVB-StaffReport,367528,6618,extracted
791035_Pathway_Council_Presentation,288781,5822,extracted
789025_2021-11-12_Determination_Letter_Location,158856,2067,extracted
789029_TOA_Philanthropic_Market_Analysis_Executive_Summary,806557,11462,extracted
789033_2021-R-19_Amending_budgets_for_2021-2022_DRAFT_w_exhibit_A,233680,84701,extracted
789893_ACVB_Contribution_Agreement_2021.2022,121717,5862,extracted
791029_21-12-8_Public_Comment_4,274979,9608,extracted
791031_2021-12-1-ACVB-Presi,686176,4780,extracted
791033_2021-R-19_Amending_budgets_for_2021-2022_DRAFT_w_exhibit_A_SIGNED,220869,85298,extracted
798481_22-1-12_Consent_Agenda,1679165,103888,extracted
798723_22-1-12_Town_Council_Agenda_Amended,283346,5365,extracted
798725_22-1-12_Town_Council_Agenda_Amended,283346,5365,extracted
798475_2022-1-5_Determination_Letter_Location,159002,2032,extracted
798479_Town_Council_Meeting_Schedule_2022_draft_update,199654,2054,extracted
798483_2022-R-1_PTIF_Entity_resolution,288831,2239,extracted
798485_ASL-TOA_Parking_MOU_w_attachments,4651079,0,image_only
798487_UFA_UFSA_Appointment_Letter_2022-1-12,141346,1790,extracted
798717_2022-O-1_Quasi_public_roads_and_parking_1.7.22_Ordinance,96804,2360,extracted
798719_22-1-12_Public_Hearing_Notice,146674,1620,extracted
798721_2022-1-5_Determination_Letter_Location,159002,2032,extracted
798727_22-1-12_Public_Hearing_Notice,146674,1620,extracted
798729_2022-O-1_Quasi_public_roads_and_parking_1.7.22_Ordinance,96804,2360,extracted
801837_2022-O-1_Quasi_Public_Roads_and_Parking_Ordinance,105844,2326,extracted
801897_2022-R-1_PTIF_Entity_resolution,100152,0,image_only
805015_22-1-26_Town_Council_Agenda,266357,3200,extracted
805013_2022-1-21_Determination_Letter_Location_draft,165719,2059,extracted
805017_2022-R-2_PTIF_Entity_resolution,530702,3427,extracted
806035_2022-R-3_Authorizing_check_signers_for_Zions_Bank,90241,1294,extracted
807471_2022-R-2_PTIF_Entity_resolution,71429,0,image_only
807473_2022-R-3_Authorizing_check_signers_for_Zions_Bank,70346,1293,extracted
810367_2022-2-9_Town_Council_Agenda,214917,4237,extracted
812125_2022-2-9_Consent_Agenda_V2,1663372,100155,extracted
